From_date;To_date;Product;Sold#;Items;Amount;Invalid;No
070818;080418;010;201425;Gross;17361;;0
070818;080418;010;201425;Shipped;14607;;0
070818;080418;010;201425;>NS NO STOCK AVAILA;2738;;0
070818;080418;010;201425;>SS Short Ships (Te;15;;0
070818;080418;010;201425;>CR Customer Reques;1;;0
070818;080418;010;201425;Total Cancel;2754;;0
070818;080418;010;910823;Gross;17361;confirm_repeat;1
070818;080418;010;910823;Shipped;14607;confirm_repeat;1
070818;080418;010;910823;>NS NO STOCK AVAILA;2738;confirm_repeat;1
070818;080418;010;910823;>SS Short Ships (Te;15;confirm_repeat;1
070818;080418;010;910823;>CR Customer Reques;1;confirm_repeat;1
070818;080418;010;910823;Total Cancel;2754;confirm_repeat;1
070818;080418;010;993248;Gross;14562;;2
070818;080418;010;993248;Shipped;12960;;2
070818;080418;010;993248;>DE DATA ERROR (CUS;4;;2
070818;080418;010;993248;>NS NO STOCK AVAILA;1592;;2
070818;080418;010;993248;>SS Short Ships (Te;6;;2
070818;080418;010;993248;Total Cancel;1602;;2
070818;080418;010;115900;Gross;100817;;3
070818;080418;010;115900;Shipped;88639;;3
070818;080418;010;115900;>NS NO STOCK AVAILA;371;;3
070818;080418;010;115900;>CR Customer Reques;11718;;3
070818;080418;010;115900;>SS Short Ships (Te;89;;3
070818;080418;010;115900;Total Cancel;12178;;3
070818;080418;010;991920;Gross;39659;;4
070818;080418;010;991920;Shipped;10448;;4
070818;080418;010;991920;>CR Customer Reques;29209;;4
070818;080418;010;991920;>SS Short Ships (Te;2;;4
070818;080418;010;991920;Total Cancel;29211;;4
070818;080418;010;5300;Gross;224757;;5
070818;080418;010;5300;Shipped;148706;;5
070818;080418;010;5300;>SS Short Ships (Te;23;;5
070818;080418;010;5300;>NS NO STOCK AVAILA;716;;5
070818;080418;010;5300;>CR Customer Reques;75312;;5
070818;080418;010;5300;Total Cancel;76051;;5
070818;080418;010;224656;Gross;67496;;6
070818;080418;010;224656;Shipped;65720;;6
070818;080418;010;224656;>NS NO STOCK AVAILA;1709;;6
070818;080418;010;224656;>SS Short Ships (Te;67;;6
070818;080418;010;224656;Total Cancel;1776;;6
070818;080418;010;967153;Gross;46149;;7
070818;080418;010;967153;Shipped;41449;;7
070818;080418;010;967153;>NS NO STOCK AVAILA;4677;;7
070818;080418;010;967153;>SS Short Ships (Te;22;;7
070818;080418;010;967153;>DE DATA ERROR (CUS;1;;7
070818;080418;010;967153;Total Cancel;4700;;7
070818;080418;010;10100;Gross;30135;;8
070818;080418;010;10100;Shipped;2211;;8
070818;080418;010;10100;>NS NO STOCK AVAILA;941;;8
070818;080418;010;10100;>CR Customer Reques;26981;;8
070818;080418;010;10100;>SS Short Ships (Te;2;;8
070818;080418;010;10100;Total Cancel;27924;;8
070818;080418;010;120950;Gross;30135;confirm_repeat;9
070818;080418;010;120950;Shipped;2211;confirm_repeat;9
070818;080418;010;120950;>NS NO STOCK AVAILA;941;confirm_repeat;9
070818;080418;010;120950;>CR Customer Reques;26981;confirm_repeat;9
070818;080418;010;120950;>SS Short Ships (Te;2;confirm_repeat;9
070818;080418;010;120950;Total Cancel;27924;confirm_repeat;9
070818;080418;010;910013;Gross;30135;confirm_repeat;10
070818;080418;010;910013;Shipped;2211;confirm_repeat;10
070818;080418;010;910013;>NS NO STOCK AVAILA;941;confirm_repeat;10
070818;080418;010;910013;>CR Customer Reques;26981;confirm_repeat;10
070818;080418;010;910013;>SS Short Ships (Te;2;confirm_repeat;10
070818;080418;010;910013;Total Cancel;27924;confirm_repeat;10
070818;080418;010;950085;Gross;364480;;11
070818;080418;010;950085;Shipped;363369;;11
070818;080418;010;950085;>CR Customer Reques;84;;11
070818;080418;010;950085;>NS NO STOCK AVAILA;958;;11
070818;080418;010;950085;>SS Short Ships (Te;69;;11
070818;080418;010;950085;Total Cancel;1111;;11
070818;080418;010;958246;Gross;8949;;12
070818;080418;010;958246;Shipped;8704;;12
070818;080418;010;958246;>NS NO STOCK AVAILA;236;;12
070818;080418;010;958246;>SS Short Ships (Te;9;;12
070818;080418;010;958246;Total Cancel;245;;12
070818;080418;010;993219;Gross;9945;;13
070818;080418;010;993219;Shipped;9497;;13
070818;080418;010;993219;>NS NO STOCK AVAILA;110;;13
070818;080418;010;993219;>SS Short Ships (Te;6;;13
070818;080418;010;993219;>CR Customer Reques;332;;13
